round,cid,location,phase,loss,accuracy,num_samples
1,0,Cleveland,fit,0.5851,0.6995,193
1,2,Switzerland,fit,0.7489,0.2718,78
1,3,VA_Long_Beach,fit,0.6762,0.5859,128
1,1,Hungarian,fit,0.5816,0.6819,188
1,0,Cleveland,evaluate,0.0467,0.7143,49
1,1,Hungarian,evaluate,0.0372,0.7872,47
1,2,Switzerland,evaluate,0.0767,0.2500,20
1,3,VA_Long_Beach,evaluate,0.0415,0.6875,32
2,2,Switzerland,fit,0.6479,0.7103,78
2,3,VA_Long_Beach,fit,0.5996,0.7578,128
2,1,Hungarian,fit,0.4952,0.8128,188
2,0,Cleveland,fit,0.5127,0.8218,193
2,1,Hungarian,evaluate,0.0329,0.8511,47
2,0,Cleveland,evaluate,0.0431,0.7755,49
2,3,VA_Long_Beach,evaluate,0.0372,0.7188,32
2,2,Switzerland,evaluate,0.0658,0.7000,20
3,3,VA_Long_Beach,fit,0.5530,0.7688,128
3,2,Switzerland,fit,0.5719,0.8282,78
3,1,Hungarian,fit,0.4316,0.8511,188
3,0,Cleveland,fit,0.4386,0.8394,193
3,2,Switzerland,evaluate,0.0566,0.9000,20
3,0,Cleveland,evaluate,0.0401,0.8367,49
3,1,Hungarian,evaluate,0.0302,0.8085,47
3,3,VA_Long_Beach,evaluate,0.0347,0.7500,32
4,2,Switzerland,fit,0.5164,0.8462,78
4,1,Hungarian,fit,0.3907,0.8500,188
4,3,VA_Long_Beach,fit,0.5215,0.7656,128
4,0,Cleveland,fit,0.4074,0.8415,193
4,0,Cleveland,evaluate,0.0390,0.8571,49
4,3,VA_Long_Beach,evaluate,0.0329,0.7500,32
4,1,Hungarian,evaluate,0.0290,0.8298,47
4,2,Switzerland,evaluate,0.0481,0.9000,20
5,2,Switzerland,fit,0.4659,0.8667,78
5,1,Hungarian,fit,0.3675,0.8500,188
5,3,VA_Long_Beach,fit,0.5015,0.7656,128
5,0,Cleveland,fit,0.3860,0.8435,193
5,0,Cleveland,evaluate,0.0391,0.8571,49
5,1,Hungarian,evaluate,0.0286,0.8511,47
5,3,VA_Long_Beach,evaluate,0.0316,0.7500,32
5,2,Switzerland,evaluate,0.0409,0.9000,20
6,2,Switzerland,fit,0.4202,0.8744,78
6,1,Hungarian,fit,0.3528,0.8457,188
6,3,VA_Long_Beach,fit,0.4918,0.7719,128
6,0,Cleveland,fit,0.3601,0.8373,193
6,1,Hungarian,evaluate,0.0284,0.8511,47
6,0,Cleveland,evaluate,0.0389,0.8571,49
6,3,VA_Long_Beach,evaluate,0.0312,0.7500,32
6,2,Switzerland,evaluate,0.0366,0.9500,20
7,2,Switzerland,fit,0.3961,0.8795,78
7,1,Hungarian,fit,0.3443,0.8574,188
7,0,Cleveland,fit,0.3615,0.8415,193
7,3,VA_Long_Beach,fit,0.4852,0.7734,128
7,3,VA_Long_Beach,evaluate,0.0310,0.7500,32
7,0,Cleveland,evaluate,0.0389,0.8367,49
7,2,Switzerland,evaluate,0.0327,0.9500,20
7,1,Hungarian,evaluate,0.0285,0.8511,47
8,2,Switzerland,fit,0.3784,0.8744,78
8,3,VA_Long_Beach,fit,0.4823,0.7766,128
8,0,Cleveland,fit,0.3396,0.8456,193
8,1,Hungarian,fit,0.3388,0.8596,188
8,1,Hungarian,evaluate,0.0287,0.8298,47
8,2,Switzerland,evaluate,0.0297,0.9500,20
8,0,Cleveland,evaluate,0.0389,0.8367,49
8,3,VA_Long_Beach,evaluate,0.0311,0.7500,32
9,2,Switzerland,fit,0.3602,0.8795,78
9,3,VA_Long_Beach,fit,0.4798,0.7734,128
9,1,Hungarian,fit,0.3305,0.8660,188
9,0,Cleveland,fit,0.3423,0.8425,193
9,0,Cleveland,evaluate,0.0396,0.8367,49
9,3,VA_Long_Beach,evaluate,0.0310,0.7188,32
9,1,Hungarian,evaluate,0.0288,0.8723,47
9,2,Switzerland,evaluate,0.0264,0.9500,20
10,2,Switzerland,fit,0.3439,0.8821,78
10,3,VA_Long_Beach,fit,0.4806,0.7812,128
10,0,Cleveland,fit,0.3158,0.8404,193
10,1,Hungarian,fit,0.3242,0.8670,188
10,3,VA_Long_Beach,evaluate,0.0313,0.7188,32
10,1,Hungarian,evaluate,0.0291,0.8723,47
10,2,Switzerland,evaluate,0.0241,1.0000,20
10,0,Cleveland,evaluate,0.0396,0.8367,49
11,2,Switzerland,fit,0.3253,0.8846,78
11,1,Hungarian,fit,0.3179,0.8681,188
11,3,VA_Long_Beach,fit,0.4800,0.7844,128
11,0,Cleveland,fit,0.3326,0.8415,193
11,2,Switzerland,evaluate,0.0222,1.0000,20
11,3,VA_Long_Beach,evaluate,0.0316,0.6875,32
11,0,Cleveland,evaluate,0.0395,0.8367,49
11,1,Hungarian,evaluate,0.0294,0.8723,47
12,2,Switzerland,fit,0.3155,0.8897,78
12,3,VA_Long_Beach,fit,0.4776,0.7859,128
12,0,Cleveland,fit,0.3254,0.8456,193
12,1,Hungarian,fit,0.3167,0.8734,188
12,3,VA_Long_Beach,evaluate,0.0321,0.6875,32
12,0,Cleveland,evaluate,0.0396,0.8367,49
12,2,Switzerland,evaluate,0.0205,1.0000,20
12,1,Hungarian,evaluate,0.0297,0.8723,47
13,2,Switzerland,fit,0.3086,0.8872,78
13,3,VA_Long_Beach,fit,0.4753,0.7891,128
13,1,Hungarian,fit,0.3112,0.8745,188
13,0,Cleveland,fit,0.3320,0.8518,193
13,3,VA_Long_Beach,evaluate,0.0325,0.6875,32
13,2,Switzerland,evaluate,0.0190,1.0000,20
13,1,Hungarian,evaluate,0.0299,0.8511,47
13,0,Cleveland,evaluate,0.0394,0.8367,49
14,3,VA_Long_Beach,fit,0.4746,0.7953,128
14,2,Switzerland,fit,0.2999,0.8897,78
14,1,Hungarian,fit,0.3121,0.8777,188
14,0,Cleveland,fit,0.3004,0.8601,193
14,3,VA_Long_Beach,evaluate,0.0328,0.6875,32
14,0,Cleveland,evaluate,0.0400,0.8367,49
14,1,Hungarian,evaluate,0.0301,0.8723,47
14,2,Switzerland,evaluate,0.0172,1.0000,20
15,2,Switzerland,fit,0.2869,0.8872,78
15,1,Hungarian,fit,0.3088,0.8777,188
15,3,VA_Long_Beach,fit,0.4747,0.7922,128
15,0,Cleveland,fit,0.3159,0.8560,193
15,0,Cleveland,evaluate,0.0397,0.8367,49
15,1,Hungarian,evaluate,0.0303,0.8511,47
15,2,Switzerland,evaluate,0.0164,1.0000,20
15,3,VA_Long_Beach,evaluate,0.0332,0.6875,32
16,2,Switzerland,fit,0.2822,0.8846,78
16,3,VA_Long_Beach,fit,0.4762,0.7922,128
16,1,Hungarian,fit,0.3069,0.8798,188
16,0,Cleveland,fit,0.3102,0.8539,193
16,2,Switzerland,evaluate,0.0153,1.0000,20
16,0,Cleveland,evaluate,0.0400,0.8367,49
16,3,VA_Long_Beach,evaluate,0.0335,0.6875,32
16,1,Hungarian,evaluate,0.0305,0.8723,47
17,3,VA_Long_Beach,fit,0.4727,0.7937,128
17,2,Switzerland,fit,0.2724,0.8923,78
17,1,Hungarian,fit,0.3047,0.8809,188
17,0,Cleveland,fit,0.3326,0.8622,193
17,2,Switzerland,evaluate,0.0147,1.0000,20
17,1,Hungarian,evaluate,0.0307,0.8723,47
17,3,VA_Long_Beach,evaluate,0.0340,0.6875,32
17,0,Cleveland,evaluate,0.0399,0.8367,49
18,2,Switzerland,fit,0.2680,0.8897,78
18,3,VA_Long_Beach,fit,0.4748,0.7953,128
18,0,Cleveland,fit,0.2867,0.8611,193
18,1,Hungarian,fit,0.2990,0.8830,188
18,0,Cleveland,evaluate,0.0396,0.8367,49
18,3,VA_Long_Beach,evaluate,0.0344,0.6875,32
18,2,Switzerland,evaluate,0.0138,1.0000,20
18,1,Hungarian,evaluate,0.0309,0.8723,47
19,2,Switzerland,fit,0.2623,0.8923,78
19,1,Hungarian,fit,0.2964,0.8862,188
19,3,VA_Long_Beach,fit,0.4712,0.7906,128
19,0,Cleveland,fit,0.3050,0.8663,193
19,0,Cleveland,evaluate,0.0393,0.8367,49
19,1,Hungarian,evaluate,0.0313,0.8723,47
19,3,VA_Long_Beach,evaluate,0.0350,0.7188,32
19,2,Switzerland,evaluate,0.0132,1.0000,20
20,2,Switzerland,fit,0.2574,0.8974,78
20,3,VA_Long_Beach,fit,0.4710,0.7828,128
20,1,Hungarian,fit,0.2956,0.8819,188
20,0,Cleveland,fit,0.2812,0.8674,193
20,2,Switzerland,evaluate,0.0126,1.0000,20
20,1,Hungarian,evaluate,0.0314,0.8723,47
20,0,Cleveland,evaluate,0.0391,0.8367,49
20,3,VA_Long_Beach,evaluate,0.0353,0.6875,32
21,3,VA_Long_Beach,fit,0.4725,0.7844,128
21,2,Switzerland,fit,0.2503,0.8974,78
21,0,Cleveland,fit,0.3047,0.8663,193
21,1,Hungarian,fit,0.2906,0.8851,188
21,3,VA_Long_Beach,evaluate,0.0358,0.6875,32
21,0,Cleveland,evaluate,0.0391,0.8571,49
21,2,Switzerland,evaluate,0.0119,1.0000,20
21,1,Hungarian,evaluate,0.0317,0.8723,47
22,2,Switzerland,fit,0.2454,0.9000,78
22,3,VA_Long_Beach,fit,0.4732,0.7906,128
22,1,Hungarian,fit,0.2876,0.8883,188
22,0,Cleveland,fit,0.2797,0.8684,193
22,3,VA_Long_Beach,evaluate,0.0361,0.6875,32
22,1,Hungarian,evaluate,0.0319,0.8511,47
22,2,Switzerland,evaluate,0.0115,1.0000,20
22,0,Cleveland,evaluate,0.0387,0.8571,49
23,2,Switzerland,fit,0.2414,0.9026,78
23,0,Cleveland,fit,0.2976,0.8756,193
23,3,VA_Long_Beach,fit,0.4716,0.7781,128
23,1,Hungarian,fit,0.2855,0.8851,188
23,1,Hungarian,evaluate,0.0322,0.8511,47
23,3,VA_Long_Beach,evaluate,0.0366,0.6875,32
23,0,Cleveland,evaluate,0.0389,0.8571,49
23,2,Switzerland,evaluate,0.0111,1.0000,20
24,2,Switzerland,fit,0.2397,0.9051,78
24,3,VA_Long_Beach,fit,0.4711,0.7891,128
24,0,Cleveland,fit,0.2815,0.8736,193
24,1,Hungarian,fit,0.2832,0.8830,188
24,2,Switzerland,evaluate,0.0107,1.0000,20
24,0,Cleveland,evaluate,0.0392,0.8571,49
24,1,Hungarian,evaluate,0.0323,0.8511,47
24,3,VA_Long_Beach,evaluate,0.0369,0.6875,32
25,2,Switzerland,fit,0.2353,0.9051,78
25,1,Hungarian,fit,0.2823,0.8840,188
25,3,VA_Long_Beach,fit,0.4695,0.7859,128
25,0,Cleveland,fit,0.2818,0.8756,193
25,0,Cleveland,evaluate,0.0390,0.8776,49
25,2,Switzerland,evaluate,0.0101,1.0000,20
25,1,Hungarian,evaluate,0.0326,0.8511,47
25,3,VA_Long_Beach,evaluate,0.0373,0.6875,32
26,2,Switzerland,fit,0.2348,0.9077,78
26,3,VA_Long_Beach,fit,0.4672,0.7859,128
26,0,Cleveland,fit,0.3147,0.8756,193
26,1,Hungarian,fit,0.2842,0.8840,188
26,1,Hungarian,evaluate,0.0327,0.8298,47
26,0,Cleveland,evaluate,0.0390,0.8776,49
26,2,Switzerland,evaluate,0.0096,1.0000,20
26,3,VA_Long_Beach,evaluate,0.0375,0.6875,32
27,2,Switzerland,fit,0.2269,0.9128,78
27,3,VA_Long_Beach,fit,0.4656,0.7953,128
27,0,Cleveland,fit,0.2640,0.8725,193
27,1,Hungarian,fit,0.2800,0.8851,188
27,3,VA_Long_Beach,evaluate,0.0378,0.6875,32
27,0,Cleveland,evaluate,0.0390,0.8776,49
27,1,Hungarian,evaluate,0.0328,0.8511,47
27,2,Switzerland,evaluate,0.0091,1.0000,20
28,2,Switzerland,fit,0.2232,0.9128,78
28,1,Hungarian,fit,0.2776,0.8798,188
28,3,VA_Long_Beach,fit,0.4635,0.7906,128
28,0,Cleveland,fit,0.2617,0.8829,193
28,1,Hungarian,evaluate,0.0329,0.8511,47
28,3,VA_Long_Beach,evaluate,0.0382,0.6875,32
28,0,Cleveland,evaluate,0.0392,0.8776,49
28,2,Switzerland,evaluate,0.0086,1.0000,20
29,2,Switzerland,fit,0.2207,0.9128,78
29,3,VA_Long_Beach,fit,0.4634,0.7844,128
29,0,Cleveland,fit,0.2653,0.8839,193
29,1,Hungarian,fit,0.2773,0.8830,188
29,2,Switzerland,evaluate,0.0084,1.0000,20
29,0,Cleveland,evaluate,0.0389,0.8571,49
29,1,Hungarian,evaluate,0.0331,0.8511,47
29,3,VA_Long_Beach,evaluate,0.0387,0.6875,32
30,2,Switzerland,fit,0.2174,0.9154,78
30,3,VA_Long_Beach,fit,0.4681,0.7891,128
30,1,Hungarian,fit,0.2745,0.8809,188
30,0,Cleveland,fit,0.2816,0.8850,193
30,2,Switzerland,evaluate,0.0078,1.0000,20
30,0,Cleveland,evaluate,0.0387,0.8571,49
30,3,VA_Long_Beach,evaluate,0.0393,0.6875,32
30,1,Hungarian,evaluate,0.0334,0.8511,47
